檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,轄管分局,備註
WOA00623,文北里,臺北市中正區銅山街17號,1,813.0,中正第一分局,
WOA00627,文北里,臺北市中正區銅山街27號,1,306.0,中正第一分局,
WOA00629,文北里,臺北市中正區銅山街6號,1,429.0,中正第一分局,
WOA01127,文北里,臺北市中正區銅山街19號,1,200.0,中正第一分局,
WOA00482,文北里,臺北市中正區濟南路二段16號,1,1030.0,中正第一分局,
WOA01341,文北里,臺北市中正區泰安街2巷5號,1,1126.0,中正第一分局,
WOA00485,文北里,臺北市中正區泰安街6-1號,1,442.0,中正第一分局,
WOA01479,文北里,臺北市中正區銅山街13號,1,1656.0,中正第一分局,
WOA00054,文北里,臺北市中正區仁愛路二段21號,1,890.0,中正第一分局,
WOA00241,文北里,臺北市中正區杭州南路一段81號,1,958.0,中正第一分局,
WOA01314,文北里,臺北市中正區杭州南路一段105巷25-10號,1,757.0,中正第一分局,
WOA00239,文北里,臺北市中正區杭州南路一段73號,1,56.0,中正第一分局,
WOA00304,文北里,臺北市中正區杭州南路一段71巷26號,1,92.0,中正第一分局,
WOA00626,文北里,臺北市中正區銅山街22號,1,89.0,中正第一分局,
WOA00733,文北里,臺北市中正區臨沂街38-1號,1,142.0,中正第一分局,
WOA00075,文北里,臺北市中正區仁愛路二段15巷21號,1,254.0,中正第一分局,
WOA01134,文北里,臺北市中正區杭州南路一段77巷2號,1,46.0,中正第一分局,
WOA01136,文北里,臺北市中正區仁愛路二段15巷3號,1,54.0,中正第一分局,
WOA01138,文北里,臺北市中正區仁愛路二段9巷15號,1,36.0,中正第一分局,
WOA00074,文北里,臺北市中正區仁愛路二段15巷1之1號,1,186.0,中正第一分局,
WOA00299,文北里,臺北市中正區杭州南路一段71巷15號,1,217.0,中正第一分局,
WOA00481,文北里,臺北市中正區泰安街10號,1,318.0,中正第一分局,
WOA00633,文北里,臺北市中正區銅山街3巷2號,1,85.0,中正第一分局,
WOA01126,文北里,臺北市中正區銅山街3巷7號,1,188.0,中正第一分局,
WOA00628,文北里,臺北市中正區銅山街39號,1,64.0,中正第一分局,
WOA00732,文北里,臺北市中正區臨沂街34號,1,204.0,中正第一分局,
WOA00769,文北里,臺北市中正區臨沂街32巷3號,1,41.0,中正第一分局,
WOA00770,文北里,臺北市中正區臨沂街32巷6號,1,49.0,中正第一分局,
WOA00238,文北里,臺北市中正區杭州南路一段63號,1,200.0,中正第一分局,
WOA00702,文北里,臺北市中正區濟南路二段22之1號,1,248.0,中正第一分局,
WOA00732,文北里,臺北市中正區臨沂街34號,1,204.0,中正第一分局,
WOA00628,文北里,臺北市中正區銅山街39號,1,64.0,中正第一分局,
WOA00732,文北里,臺北市中正區臨沂街34號,1,204.0,中正第一分局,
WOA00770,文北里,臺北市中正區臨沂街32巷6號,1,49.0,中正第一分局,
WOA01126,文北里,臺北市中正區銅山街3巷7號,1,188.0,中正第一分局,
WOA01130,文北里,臺北市中正區金山南路一段43號,1,220.0,中正第一分局,
WOA00077,文北里,臺北市中正區仁愛路二段38巷4號,1,90.0,中正第一分局,
WOA00735,文北里,臺北市中正區臨沂街42號,1,64.0,中正第一分局,
WOA00784,文北里,臺北市中正區臨沂街44巷5號,1,228.0,中正第一分局,
WOA00485,文北里,臺北市中正區泰安街6巷6號,1,125.0,中正第一分局,
WOA00631,文北里,臺北市中正區銅山街6號11巷4號,1,156.0,中正第一分局,
WOA00700,文北里,臺北市中正區濟南路二段18號,1,766.0,中正第一分局,
WOA00784,文北里,臺北市中正區臨沂街44巷5號,1,228.0,中正第一分局,
WOA00306,文北里,臺北市中正區杭州南路一段77巷12號,1,41.0,中正第一分局,
WOA00307,文北里,臺北市中正區杭州南路一段77巷20號,1,32.0,中正第一分局,
WOA00308,文北里,臺北市中正區杭州南路一段77巷22號,1,60.0,中正第一分局,
WOA00313,文北里,臺北市中正區杭州南路一段77巷39號,1,230.0,中正第一分局,
WOA00361,文北里,臺北市中正區金山南路一段70-1號,1,121.0,中正第一分局,
WOA01135,文北里,臺北市中正區杭州南路一段77巷5弄1號,1,78.0,中正第一分局,
WOA01137,文北里,臺北市中正區杭州南路一段77巷15號,1,110.0,中正第一分局,
WOA00234,文北里,臺北市中正區杭州南路一段23號,1,98.0,中正第一分局,
WOA01269,文北里,臺北市中正區仁愛路二段29號,1,210.0,中正第一分局,
WOA00250,文祥里,臺北市中正區杭州南路一段105巷14號,1,353.0,中正第一分局,
WOA00249,文祥里,臺北市中正區杭州南路一段105巷14號,1,353.0,中正第一分局,
WOA00362,文祥里,臺北市中正區金山南路一段75-1號,1,232.0,中正第一分局,
WOA01314,文祥里,臺北市中正區杭州南路一段105巷25-10號,1,757.0,中正第一分局,
WOA00227,文祥里,臺北市中正區杭州南路一段115號,2,1177.0,中正第一分局,
WOA00230,文祥里,臺北市中正區杭州南路一段139號,1,558.0,中正第一分局,
WOA00275,文祥里,臺北市中正區杭州南路一段131巷15號,1,420.0,中正第一分局,
WOA00277,文祥里,臺北市中正區杭州南路一段131巷17號,2,237.0,中正第一分局,
WOA00279,文祥里,臺北市中正區杭州南路一段131巷3號,1,313.0,中正第一分局,
WOA00281,文祥里,臺北市中正區杭州南路一段131巷4號,1,341.0,中正第一分局,
WOA00872,文祥里,臺北市中正區杭州南路一段11一段11巷,1,514.0,中正第一分局,
WOA00228,文祥里,臺北市中正區杭州南路一段125號,1,146.0,中正第一分局,
WOA01097,文祥里,臺北市中正區杭州南路一段131巷17、19號,1,132.0,中正第一分局,
WOA01101,文祥里,臺北市中正區杭州南路一段111巷15號,1,20.0,中正第一分局,
WOA01316,文祥里,臺北市中正區杭州南路一段143巷5號,1,434.0,中正第一分局,
WOA01386,文祥里,臺北市中正區杭州南路一段131巷8號,1,492.0,中正第一分局,
WOA01117,文祥里,臺北市中正區仁愛路二段38巷7弄6號,1,396.0,中正第一分局,
WOA00243,文祥里,臺北市中正區杭州南路一段101巷20號,1,480.0,中正第一分局,
WOA00244,文祥里,臺北市中正區文祥杭州南路一段101巷22號,1,154.0,中正第一分局,
WOA00364,文祥里,臺北市中正區金山南路一段80號,1,317.0,中正第一分局,
WOA01105,文祥里,臺北市中正區金山南路一段72-1號,1,257.0,中正第一分局,
WOA01107,文祥里,臺北市中正區金山南路一段77號,1,380.0,中正第一分局,
WOA01331,文祥里,臺北市中正區杭州南路一段103號,1,964.0,中正第一分局,
WOA01387,文祥里,臺北市中正區金山南路一段72-2號,1,342.0,中正第一分局,
WOA00270,文祥里,臺北市中正區杭州南路一段111巷36號,1,193.0,中正第一分局,
WOA00272,文祥里,臺北市中正區杭州南路一段111巷6號,1,774.0,中正第一分局,
WOA00274,文祥里,臺北市中正區杭州南路一段131巷12號,1,226.0,中正第一分局,
WOA00280,文祥里,臺北市中正區杭州南路一段131巷37號,1,164.0,中正第一分局,
WOA01305,文祥里,臺北市中正區杭州南路一段111巷32號,1,173.0,中正第一分局,
WOA01329,文祥里,臺北市中正區杭州南路一段111巷25號,1,505.0,中正第一分局,
WOA00285,文祥里,臺北市中正區杭州南路一段143巷19-1號,1,298.0,中正第一分局,
WOA00287,文祥里,臺北市中正區杭州南路一段143巷25號,1,253.0,中正第一分局,
WOA00288,文祥里,臺北市中正區杭州南路一段143巷27號,1,177.0,中正第一分局,
WOA00353,文祥里,臺北市中正區金山南路一段108號,1,549.0,中正第一分局,
WOA01342,文祥里,臺北市中正區杭州南路一段143巷29號,1,199.0,中正第一分局,
WOA00396,文祥里,臺北市中正區信義路二段1-1號,1,1365.0,中正第一分局,
WOA00397,文祥里,臺北市中正區信義路二段1-1號,2,3148.0,中正第一分局,
WOA00398,文祥里,臺北市中正區信義路二段1-1號,3,3148.0,中正第一分局,
WOA00400,文祥里,臺北市中正區信義路二段15號,1,578.0,中正第一分局,
WOA00402,文祥里,臺北市中正區信義路二段23號,2,1409.0,中正第一分局,
WOA00406,文祥里,臺北市中正區信義路二段5號,1,380.0,中正第一分局,
WOA00231,文祥里,臺北市中正區杭州南路一段147號,1,329.0,中正第一分局,
WOA00289,文祥里,臺北市中正區杭州南路一段143巷32-1號,1,233.0,中正第一分局,
WOA00365,文祥里,臺北市中正區金山南路一段110巷15號,1,236.0,中正第一分局,
WOA01344,文祥里,臺北市中正區杭州南路一段143巷18號,1,496.0,中正第一分局,
WOA01361,文祥里,臺北市中正區金山南路一段110巷33號,1,597.0,中正第一分局,
WOA01362,文祥里,臺北市中正區杭州南路一段143巷26號,1,198.0,中正第一分局,
WOA00409,文祥里,臺北市中正區信義路二段73號,1,352.0,中正第一分局,
WOA00410,文祥里,臺北市中正區信義路二段91號,1,589.0,中正第一分局,
WOA00879,文祥里,臺北市中正區信義路二段65號,1,537.0,中正第一分局,
WOA01272,文祥里,臺北市中正區信義路二段57號,1,333.0,中正第一分局,
WOA00354,文祥里,臺北市中正區金山南路一段125號,1,557.0,中正第一分局,
WOA00737,文祥里,臺北市中正區臨沂街52-3號,1,308.0,中正第一分局,
WOA00867,文祥里,臺北市中正區信義路二段101號,1,673.0,中正第一分局,
WOA01083,文祥里,臺北市中正區金山南路一段155號,1,221.0,中正第一分局,
WOA01093,文祥里,臺北市中正區金山南路一段128巷3號,1,221.0,中正第一分局,
WOA00251,文祥里,臺北市中正區杭州南路一段105巷21-4號,1,160.0,中正第一分局,
WOA01110,文祥里,臺北市中正區金山南路一段79巷5號,1,50.0,中正第一分局,
WOA01111,文祥里,臺北市中正區金山南路一段79巷7號,1,50.0,中正第一分局,
WOA01112,文祥里,臺北市中正區金山南路一段79巷2號,1,50.0,中正第一分局,
WOA01113,文祥里,臺北市中正區金山南路一段79巷4號,1,50.0,中正第一分局,
WOA01355,文祥里,臺北市中正區仁愛路二段20巷3-6號,1,184.0,中正第一分局,
WOA00079,文祥里,臺北市中正區仁愛路二段38巷6號,1,124.0,中正第一分局,
WOA00228,文祥里,臺北市中正區杭州南路一段125號,1,148.0,中正第一分局,
WOA00229,文祥里,臺北市中正區杭州南路一段129號,1,182.0,中正第一分局,
WOA00264,文祥里,臺北市中正區杭州南路一段111巷13號,1,97.0,中正第一分局,
WOA00265,文祥里,臺北市中正區杭州南路一段111巷17號,1,28.0,中正第一分局,
WOA00267,文祥里,臺北市中正區杭州南路一段111巷21號,1,36.0,中正第一分局,
WOA00268,文祥里,臺北市中正區杭州南路一段11一段21-1號,1,773.0,中正第一分局,
WOA00271,文祥里,臺北市中正區杭州南路一段111巷5號,1,334.0,中正第一分局,
WOA00273,文祥里,臺北市中正區杭州南路一段111巷7-8號,1,77.0,中正第一分局,
WOA00275,文祥里,臺北市中正區杭州南路一段131巷15號,1,420.0,中正第一分局,
WOA01102,文祥里,臺北市中正區杭州南路111巷9號,1,77.0,中正第一分局,
WOA01103,文祥里,臺北市中正區杭州南路111巷7號,1,80.0,中正第一分局,
WOA01104,文祥里,臺北市中正區杭州南路一段111巷3號,1,62.0,中正第一分局,
WOA00078,文祥里,臺北市中正區仁愛路二段38巷9號,1,70.0,中正第一分局,
WOA00080,文祥里,臺北市中正區仁愛路二段38巷7弄3號,1,102.0,中正第一分局,
WOA00245,文祥里,臺北市中正區杭州南路一段101巷26號,1,129.0,中正第一分局,
WOA00248,文祥里,臺北市中正區杭州南路一段105巷11-1號,1,125.0,中正第一分局,
WOA01098,文祥里,臺北市中正區杭州南路一段101巷16號,1,53.0,中正第一分局,
WOA01099,文祥里,臺北市中正區杭州南路一段101巷12號,1,72.0,中正第一分局,
WOA01100,文祥里,臺北市中正區杭州南路一段101巷2號,1,26.0,中正第一分局,
WOA01106,文祥里,臺北市中正區金山南路一段76號,1,50.0,中正第一分局,
WOA01108,文祥里,臺北市中正區金山南路一段73巷10號,1,40.0,中正第一分局,
WOA01109,文祥里,臺北市中正區金山南路一段73巷8號,1,45.0,中正第一分局,
WOA00114,文祥里,臺北市中正區金山南路一段73巷2號,1,50.0,中正第一分局,
WOA01115,文祥里,臺北市中正區仁愛路二段38巷5號,1,528.0,中正第一分局,
WOA01116,文祥里,臺北市中正區仁愛路二段38巷7弄11號,1,50.0,中正第一分局,
WOA00081,文祥里,臺北市中正區仁愛路二段38巷7弄6號,1,208.0,中正第一分局,
WOA00262,文祥里,臺北市中正區杭州南路一段111巷10號,1,81.0,中正第一分局,
WOA00263,文祥里,臺北市中正區杭州南路一段111巷12號,1,76.0,中正第一分局,
WOA00269,文祥里,臺北市中正區杭州南路一段111巷23-1號,1,269.0,中正第一分局,
WOA00276,文祥里,臺北市中正區杭州南路一段131巷16號,1,64.0,中正第一分局,
WOA00411,文祥里,臺北市中正區信義路二段17巷20號,1,33.0,中正第一分局,
WOA00419,文祥里,臺北市中正區信義路二段79巷28號,1,82.0,中正第一分局,
WOA01090,文祥里,臺北市中正區杭州南路一段111巷30號,1,28.0,中正第一分局,
WOA01091,文祥里,臺北市中正區杭州南路一段111巷50號,1,34.0,中正第一分局,
WOA01092,文祥里,臺北市中正區杭州南路一段111巷26號,1,126.0,中正第一分局,
WOA01094,文祥里,臺北市中正區杭州南路一段131巷30號,1,30.0,中正第一分局,
WOA01095,文祥里,臺北市中正區杭州南路一段143巷31號,1,40.0,中正第一分局,
WOA00284,文祥里,臺北市中正區杭州南路一段143巷12號,1,29.0,中正第一分局,
WOA00286,文祥里,臺北市中正區杭州南路一段143巷20號,1,40.0,中正第一分局,
WOA00289,文祥里,臺北市中正區杭州南路一段143巷32號,1,292.0,中正第一分局,
WOA00291,文祥里,臺北市中正區杭州南路一段143巷12弄2號,1,41.0,中正第一分局,
WOA00372,文祥里,臺北市中正區金山南路一段110巷,1,42.0,中正第一分局,
WOA01085,文祥里,臺北市中正區杭州南路一段143巷28號,1,54.0,中正第一分局,
WOA01086,文祥里,臺北市中正區杭州南路一段143巷30號,1,52.0,中正第一分局,
WOA01087,文祥里,臺北市中正區杭州南路一段143巷8號,1,70.0,中正第一分局,
WOA01393,文祥里,臺北市中正區金山南路一段110巷18號,1,76.0,中正第一分局,
WOA00408,文祥里,臺北市中正區信義路二段63號,1,185.0,中正第一分局,
WOA00414,文祥里,臺北市中正區信義路二段45巷1號,1,53.0,中正第一分局,
WOA00415,文祥里,臺北市中正區信義路二段45巷11號,1,301.0,中正第一分局,
WOA00416,文祥里,臺北市中正區信義路二段45巷19號,1,94.0,中正第一分局,
WOA00417,文祥里,臺北市中正區信義路二段45巷7號,1,29.0,中正第一分局,
WOA00418,文祥里,臺北市中正區信義路二段79巷14號,1,879.0,中正第一分局,
WOA00737,文祥里,臺北市中正區臨沂街52之3號,1,308.0,中正第一分局,
WOA00803,文祥里,臺北市中正區臨沂街60巷7號,1,66.0,中正第一分局,
WOA01084,文祥里,臺北市中正區臨沂街62號,1,100.0,中正第一分局,
WOA01073,三愛里,臺北市中正區臨沂街75巷6號,1,40.0,中正第一分局,
WOA00801,三愛里,臺北市中正區臨沂街59巷35號,1,33.0,中正第一分局,
WOA00839,三愛里,臺北市中正區臨沂街75巷15號,1,620.0,中正第一分局,
WOA01080,三愛里,臺北市中正區臨沂街75巷2-3號,1,358.0,中正第一分局,
WOA00841,三愛里,臺北市中正區臨沂街75巷29號,1,464.0,中正第一分局,
WOA00842,三愛里,臺北市中正區臨沂街75巷4-1號,1,644.0,中正第一分局,
WOA01330,三愛里,臺北市中正區臨沂街71巷17-5號,1,138.0,中正第一分局,
WOA01348,三愛里,臺北市中正區信義路二段135號,1,1222.0,中正第一分局,
WOA01357,三愛里,臺北市中正區臨沂街75巷35號,1,564.0,中正第一分局,
